Tweets,Type,Url
"How to lose the public’s trust👉 2 weeks to flatten the curve, LIE. Cloth/paper mask will stop a virus, LIE. The Covid 💉 will stop you from getting Covid, LIE. Try to hide the clinical trails for years 😡 Threaten, harass & fire anyone that doesn’t comply. (1)",1,https://twitter.com/NicoleGun09/status/1519298203866259456
"Grifters gonna grift.

Remember, when antivax cult members tell you to follow the money, that many of the cult leaders are making themselves wealthy.",0,https://twitter.com/ParkinJim/status/1520375320540504065
"With the modern #antivax paranoia about computer chips, this is as a poorly timed announcement.",0,https://twitter.com/MasterDebateNet/status/1518273094653255690
"Sorry 
@Daily_Express
 how how the hell does 
@thelucyjohnston
 remain your health and social editor when she is constantly sharing antivax disinformation.",0,https://twitter.com/karamballes/status/1517957328624103429
Antivax or anti untested-dodgy-pharma-product that doesn't work and costs nations $billions?,1,https://twitter.com/JeffreyPeel/status/1518666064514662400
"All of their covid patients in hospital right now are vaccinated. Does this not ring any alarm bells? It’s not the unvaccinated in the hospital, it’s vaccinated in the hospital. #WakeUp #SCAMDEMIC2021 #Covidisalie #CovidVaccinesDontWork",1,https://twitter.com/Lilbirdgirl79/status/1441545109120581634
Your daily reminder...a genuinely deadly pandemic doesn't require 24/7 advertising to remind you it  exists. Real pandemics don't need marketing campaigns and endless propaganda...but psychological operations DO.,1,https://twitter.com/DivocSuriv/status/1375835597542150145
What in the Third Reich Fuck?,1,https://twitter.com/JimBeamcool/status/1520209086738014209
♈️Worldwide Awakening! The corrupt lies MUST be exposed on order to wake the REST of you with your heads in the sand. ☄️#covid #afghanistan #biden #deltavariant #covidisalie #covidisascam #covidiot #covidmeme #vaccine #vaxxed #plandemic #scamdemic,1,https://twitter.com/NOdogmeatNO/status/1427485708781072390
"I’ll tell you why, it’s because you are being lied to. How long are you going to Let the government dictate to you how to live your life.
Fauci belongs in prison!
#vaccinations
#covidisalie",1,https://twitter.com/nvraine/status/1452406253833969667
"The truth always floats to the surface. The question is, will we acknowledge it or deny it’s existence? #truth #freedom #constitution #stopthemandates #covidisalie",1,https://twitter.com/the9stripes/status/1494129027967184896
"This is what they want. They want you lost, confused, overwhelmed and not knowing who or what to believe. Stay the course. Stay strong. Stay alert. Stay safe. Stay awake. 
#CovidIsAHoax #CovidIsALie #Plandemic #Scamdemic #OperationLockstep #Event201 #Agenda21 #MedicalTyranny #NWO",1,https://twitter.com/Salty702/status/1307559467748384768
The lab leak story is a distraction. They just renamed the flu & the common cold. #CovidIsALie #RefuseToComply,1,https://twitter.com/ky_statesman/status/1425287775687958529
"Who needs an immune system when you can just inject poison every 3 months? 
#VaccineFraud #CrimesAgainstHumanity
#CovidisaLie #ExperimentalVaccines #Cryptocurency 
#Factcheck #vaccine #VaccinePassports #VaccineShortage #vaccinated",1,https://twitter.com/NickelRider/status/1415748863328149508
"So the moon landing was the cheapest at the time, movie to ever be made costing only $17 per head. Until this world wide show #covidisalie please #WakeUp",1,https://twitter.com/QuintRuden/status/1370368560070025216
"You have to be a real moron to not see what has happened here. It is the damn flu people, it always was…#covidisalie",1,https://twitter.com/justthink1111/status/1437013900185190400
"This man my Government has been lying to his hole country Mr Johnson 
@BorisJohnson
 has came to us with this FAKE virus and spreading it to the hole world this coronavirus is yet agin a lie so please come on the truth run and join the fight #COVIDisaLIE",1,https://twitter.com/kayson_bowell/status/1307033373270052864
"#CovidIsNotOver is trending.
How about #CovidIsOver #CovidIsALie #TheVaccineIsDangeous",1,https://twitter.com/JocelynChilds4/status/1413583646276063232
"If there’s one consolation I can take away from my situation, it’s this:
At least I don’t have to wear a mask like everyone else. 
I may be isolated and obstructed, but I am unafraid. 
#Omicron #CovidIsALie 
#Liberty #America #Constitution",1,https://twitter.com/votejoemchugh/status/1464784357130858496
"Fun Covid Fact of the Day: the ""vaccine"" is not the only thing approved under [corrupt] FDA EUA authorization but so are the ""tests"" and many of the other medical devices like masks & ventilators. #CovidIsALie #ResisTheJab #TeamKentucky",1,https://twitter.com/ky_statesman/status/1428514047578853383
"What I wanna know is... Where the hell are all the disposal bins for these ""toxic gloves and masks"" if this shit is so deadly...? #covidisalie",1,https://twitter.com/MellyHatchet/status/1427015182107217923
Still think what’s happened over the past 2 years was about your health. So much was taken. I lost 5 family members in the last 2 year (not one due to this nonsense) & was not able to grieve with my family. #plannedemic #covidisalie #sheeple $cience,1,https://twitter.com/dette_white/status/1496920511674142737
"Here's a thought: if you at any point said or even thought Covid was a hoax, maybe you shouldn't get to be in line for the vaccine or at the very least, in the back 💁‍♂️

#CovidIsALie #Sheeple #CovidIsAHoax #ThenWhyAreYouFirstInLine #COVID19 #CoronavirusVaccine #GOPBetrayedAmerica",0,https://twitter.com/CasedCrusader/status/1341443811835199488
All I want for Xmas is for people to wake up and see we're being scammed by the government #covidisalie,1,https://twitter.com/dmill187/status/1342231332802473985
They killed her cause she spoke against this #FakeVirus then blame fake Covid #StayWoke #CovidIsALie #CovidNotReal,1,https://twitter.com/TyHeru10/status/1478521921016762368
"The irony of this announcement and where it comes from,  is mind blowing !!
In a time where more people die of the vaccine than covid
#COVID19 #control #covidisalie",1,https://twitter.com/juanstwt/status/1416378848640475141
"If masks work, why are Covid cases increasing? #covidisalie #covidsheep",1,https://twitter.com/diamond_davve/status/1334344758433484800
"Congratulations to the CDC for destroying Jimmy Rave's wrestling career. Your #fakevid ""vaccine"" is poison assholes. #truth #covidisalie #covidisahoax #destroyedlife #thankyouJimmy",1,https://twitter.com/lordbenisi/status/1333510000711528453
